station,canonical_poi
Ocotillo Switchyard 500 kV,Ocotillo Switchyard 500 kV
Otay Mesa Switchyard 230 kV,Otay Mesa Switchyard 230 kV
Panoche Substation,Panoche Substation
Panoche-Schindler #1 and #2 115 kV Line,Panoche-schindler #1 And #2 115 kV Line
Pisgah Substation 230 kV,Pisgah Substation 230 kV
Pittsburg 115 kV,Pittsburg 115 kV
Pittsburg 230 kV,Pittsburg 230 kV
Pittsburg-Tesla #1 230 kV Line,Pittsburg-tesla #1 230 kV Line
Quinto 230 kV,Quinto 230 kV
Rancho Seco-Bellota #1 230 kV Line,Rancho Seco-bellota #1 230 kV Line
Rector Substation 220 kV,Rector Substation 220 kV
Rector Substation 230 kV,Rector Substation 230 kV
Red Bluff Substation 220 kV,Red Bluff Substation 220 kV
Red Bluff Substation 230kV,Red Bluff Substation 230 kV
Red Bluff Substation 230 kV,Red Bluff Substation 230 kV
Red Bluff Substation 500kV,Red Bluff Substation 500 kV
Red Bluff Substation 500 kV,Red Bluff Substation 500 kV
Rio Hondo Substation 230 kV,Rio Hondo Substation 230 kV
Ripon 115 kV,Ripon 115 kV
Roadway Substation 115kV bus,Roadway Substation 115 kV
Roadway Substation 115kV,Roadway Substation 115 kV
Salado-Newman #1 60kV Line,Salado-newman #1 60 kV Line
Sanger 115 kV,Sanger 115 kV
Santa Teresa 115 kV,Santa Teresa 115 kV
Schulte 115 kV,Schulte 115 kV
Schulte Switching Station 115kV bus,Schulte Switching Station 115 kV Bus
Shafter 115 kV,Shafter 115 kV
Sloan Canyon Switching Station 230kV,Sloan Canyon Switching Station 230 kV
Springville Substation 230 kV,Springville Substation 230 kV
Suncrest - Ocotillo 500 kV Line,Suncrest-ocotillo 500 kV Line
Taft-Cuyama #1 70kV line,Taft-cuyama #1 70 kV Line
Tesla 230 kV,Tesla 230 kV
Tesla 500 kV,Tesla 500 kV
Tesla-Manteca 115kV line via Schulte Switchyard,Tesla-manteca 115 kV Line Via Schulte Switchyard
Tesla-Newark #1 230 kV Line,Tesla-newark #1 230 kV Line
Trabuco - Capistrano 138 kV Line,Trabuco-capistrano 138 kV Line
Tranquility 230 kV,Tranquility 230 kV
Tranquility 230kV,Tranquility 230 kV
Trout Canyon Substation 230 kV,Trout Canyon Substation 230 kV
Tulucay 60 kV,Tulucay 60 kV
Vaca-Dixon 115 kV,Vaca-dixon 115 kV
Vaca-Dixon 230 kV,Vaca-dixon 230 kV
Valley Springs 60 kV,Valley Springs 60 kV
Valley Substation 138 kV,Valley Substation 138 kV
Valley Substation 500kV,Valley Substation 500 kV
Valley Substation 500 kV,Valley Substation 500 kV
Vestal Substation 230kV,Vestal Substation 230 kV
Vestal Substation 230 kV,Vestal Substation 230 kV
Viejo Substation 230kV,Viejo Substation 230 kV
Vierra 115 kV,Vierra 115 kV
Vincent Substation 230kV,Vincent Substation 230 kV
Vincent Substation 230 kV,Vincent Substation 230 kV
Vincent Substation 500kV,Vincent Substation 500 kV
Vincent - Pearblossom 230 kV line,Vincent-pearblossom 230 kV Line
Vota-South 60 kV,Volta-South 60 kV
Volta-South 60 kV Line,Volta-South 60 kV
Walnut Substation 220kV,Walnut Substation 220 kV
Walnut Substation 230 kV,Walnut Substation 230 kV
Weber 60 kV,Weber 60 kV
Westly-Quinto 230 kV,Westly-quinto 230 kV
Wheeler Ridge 230 kV,Wheeler Ridge 230 kV
Whirlwind Substation 220 kV,Whirlwind Substation 220 kV
Whirlwind Substation 220kV,Whirlwind Substation 220 kV
Whirlwind Substation 230kV,Whirlwind Substation 230 kV
Whirlwind Sub 230 kV Bus,Whirlwind Substation 230 kV
WHIRLWIND Substation 230 kV,Whirlwind Substation 230 kV
Whirlwind Substation 500 kV,Whirlwind Substation 500 kV
Wilson 115 kV,Wilson 115 kV
Windhub Substation 220kV,Windhub Substation 220 kV
Windhub Substation 230kV,Windhub Substation 230 kV
Windhub Substation 500kV,Windhub Substation 500 kV
